Scrape Date,Scrape Time,productName,PhonePlaceKenya_productLink,Reviews,Status,Display,RAM,Internal Storage,OS,Chipset,Main Camera,Selfie Camera,Connectivity,Battery,NB,SKU,Brands,Category,Capacity,Dimensions,Weight,Color,Connector,Compatibility,Accessories,Fast Charging,Multiple Devices Charging,Main camera,Front camera,Processor,Colors,Tags,Screen Size,Resolution,Dimension,Water resistance,Colorways,Driver,Mics,IP Rating,Active Noise Cancellation,Adaptive Active Noise Cancellation,Voice Control,Cover display,Warranty Info,Region,Cover Camera,Operating System,Internal Memory,Primary Camera,Front Camera,Storage,Size,Ports,Interface,Power Output,Voltage,Camera,Selfie,Bluetooth,Material,Strap,Kickstand,Case,Sports modes,Watch Faces,Waterproof,This item,Manufacturer,Batteries,Colour,Connector Type,Key Components,NFC,Battery Life,Speakers,Microphones,Drivers,ANC,Water Resistance,Thickness,Rear Camera,Inner Camera,Outer Camera,Noise Cancellation,Mono Listening,IP rating,Supported codecs,Weight (earbuds),Dimensions (earbuds),Charging,Driver size,Cable Length,"Input Voltage (Max, Fast Charge)","Input Voltage (Max, Normal Charge)",USB Output,Connection Type,Source Connection,Cable,Charger Type,Input Voltage,True Wireless,Resistant,Built-In Microphone,Carrying Case,Headphone Fit,Ear Tip Sizes Included,Dimension (WxHxD),Chip,Controls,Audio Tech,Wattage,Charging Method,Charging Interface,Brightness,Stands Options,Supported Displays,Type,USB Type,Supported devices when charging,Processor Type,SSD Capacity,Displays supported,Cable Type,Compatible Devices,Streaming Services,Bluetooth Version,Control Button,OS Compatibility,Wake Word,Number of Microphones,Transmission distance,Build,Case Size,PhonePlaceKenya_verifiedRatings,PhonePlaceKenya_oldPrice,PhonePlaceKenya_Price,PhonePlaceKenya_Discount
2024-10-26,21:15:52,Samsung Galaxy S24 FE 5G,https://www.phoneplacekenya.com/product/samsung-galaxy-s24-fe-5g/,0 Reviews,IN STOCK,"6.7-inch, Dynamic AMOLED 2X",8GB,256GB,"Android 14, One UI 6.1",Exynos 2400e (4 nm),50MP+8MP+12MP,10MP,"5G, Wi-Fi 7, Bluetooth 5.3, NFC, USB-C, GPS","4700mAh, 15W",Warranty registration is the customer's responsibility,SM-S721BLBBAFB,Samsung,Samsung Phones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 Reviews,"KSh 89,000","KSh 81,000",-9%
2024-10-26,21:16:01,Samsung Galaxy Fold 6 with S-Pen Case,https://www.phoneplacekenya.com/product/samsung-galaxy-fold-6-with-s-pen-case/,0 Reviews,IN STOCK,,,,,,,,,,Warranty registration is the customer's responsibility,,Samsung,Phone Covers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 Reviews,"KSh 13,500","KSh 12,000",-11%
2024-10-26,21:16:10,Samsung 45W 20000 mAh Power Bank,https://www.phoneplacekenya.com/product/samsung-45w-20000mah/,0 Reviews,IN STOCK,,,,,,,,,,Warranty registration is the customer's responsibility,,Samsung,Powerbank,"20,000mAh",152 x 76 x 25.5 cm,402g,beige,USB Type-C,"Samsung tablets, smartphones, smart devices, and other brands.","USB Type-C to USB Type-C (30 cm, 5A)",yes. 45W Super Fast Charging 2.0 (PD 3.0 PPS) 3x USB-C,Yes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 Reviews,"KSh 9,500","KSh 9,000",-5%
2024-10-26,21:16:22,Samsung Galaxy A06,https://www.phoneplacekenya.com/product/samsung-galaxy-a06/,0 Reviews,IN STOCK,6.7 inch,4GB,128GB,Android 14,,,,"Dual SIM, 2G, 3G, 4G, Wi-Fi","5000 mAh, 25W",Warranty registration is the customer's responsibility,SM-A065FZKDAFB,Samsung,Samsung Phones,,,,,,,,,,50MP+ 2MP,8MP,Mediatek Helio G85 (12 nm),"Blue, Gold, White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 Reviews,"KSh 16,500","KSh 15,000",
2024-10-26,21:16:40,Samsung Galaxy Buds 3 Pro,https://www.phoneplacekenya.com/product/samsung-galaxy-buds-3-pro/,0 Reviews,IN STOCK,,,,,,,,,,Warranty registration is the customer's responsibility,SM-R630NZAAMEA,Samsung,Galaxy Buds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 Reviews,"KSh 30,000","KSh 27,500",
2024-10-26,21:16:48,Samsung Galaxy Watch 7,https://www.phoneplacekenya.com/product/samsung-galaxy-watch-7/,0 Reviews,IN STOCK,,2 GB,32 GB,"Android Wear OS 5, One UI Watch 6",,,,,"425 mAh, 10W wireless",Warranty registration is the customer's responsibility,N/A,Samsung,Galaxy Watch,,,,"Cream, Silver, Green",,,,,,,,Exynos W1000 (3 nm),,,1.5-inch,480 x 480 pixels (~327 ppi density),44.4 x 44.4 x 9.7 mm,IP68 Certified Rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 Reviews,"KSh 30,500","KSh 33,500",
2024-10-26,21:16:56,Samsung Galaxy Watch Ultra,https://www.phoneplacekenya.com/product/samsung-galaxy-watch-ultra/,0 Reviews,IN STOCK,"1.5-inch, Super AMOLED",2 GB,32 GB,"Android Wear OS 5, One UI Watch 6",,,,,"425 mAh, 10W wireless",Warranty registration is the customer's responsibility,,Samsung,Galaxy Watch,,,,,,,,,,,,Exynos W1000 (3NM),,,,480 x 480 pixels (~327 ppi density),47.4 x 47.4 x 12.1 mm,"IP68 Certified Rating, 10ATM Certified","Titanium Silver, Titanium Gray, Titanium White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 Reviews,"KSh 90,000","KSh 85,000",
2024-10-26,21:17:04,Samsung Galaxy Buds 3,https://www.phoneplacekenya.com/product/samsung-galaxy-buds-3/,0 Reviews,IN STOCK,,,,,,,,,"Buds-61mAh, Case-515mAh",Warranty registration is the customer's responsibility,,Samsung,Galaxy Buds,,,,,,,,,,,,,"Silver, White",,,,,,,11mm dynamic drivers,3 mics + VPU (DNN + Personalized Beamforming),Waterproof IP57,Yes,No,Bixby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 Reviews,"KSh 23,000","KSh 19,000",
2024-10-26,21:17:13,Samsung Galaxy Z Flip 6,https://www.phoneplacekenya.com/product/samsung-galaxy-z-flip-6/,0 Reviews,IN STOCK,"6.7 inch, AMOLED, 120Hz",12 GB,"256GB, 512GB","Android 14, One UI 6.1.1",,,,"Dual SIM, 3G, 4G, 5G, VoLTE, Wi-Fi","4000mAh, 25W",Warranty registration is the customer's responsibility,SM-F741BLBAAFB,Samsung,Foldable Phones,,,,,,,,,,50 MP + 12 MP,10 MP,Qualcomm Snapdragon 8 Gen 3,"Yellow, Silver Shadow, Mint, Blue, Black, White, Peach",,,,,,,,,,,,,"3.9 inch, AMOLED",Warranty,UAE / Dubai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 Reviews,"KSh 93,000","KSh 131,000",
2024-10-26,21:17:27,Samsung Galaxy Z Fold 6,https://www.phoneplacekenya.com/product/samsung-galaxy-z-fold-6/,0 Reviews,IN STOCK,7.6 inches Super AMOLED display (unfolded); 6.3-inches when folded,12GB,"256GB, 512GB",,,,,"Dual SIM, 3G, 4G, 5G, Wi-Fi","4,4000mAh",Warranty registration is the customer's responsibility,SM-F956BZSDAFB,Samsung,Foldable Phones,,,,,,,,,,50MP + 10MP + 12MP,4MP,Qualcomm SM8550-AC Snapdragon 8 Gen 3 (4 nm),"Navy, Silver Shadow, Pink, Black, White",,,,,,,,,,,,,,Warranty,UAE / Dubai,10MP,"Android 14, One UI 6.1.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 Reviews,"KSh 162,000","KSh 186,000",
